name,genre,summary,director,release_year,image_url
After Party,Comedy,,Tope Alake,2021,"https://m.media-amazon.com/images/M/MV5BNzg4YmNmYmEtOTliNC00NmVmLWE3NmQtYzljZGZmNjkzYjg2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Eyimofe,Drama,"In Lagos, Nigeria, tragedy and fate intervene as two people try to better the lives of their families.",Arie Esiri,2020,"https://m.media-amazon.com/images/M/MV5BMGI0ZDkyNDYtMGMwZC00NjQzLWJlMmItYTRjMWI2MWI5ZTQ1XkEyXkFqcGdeQXVyMTI0MjI0NTc0._V1_UX67_CR0,0,67,98_AL_.jpg"
Man of God,Drama,Samuel forsakes his harsh religious upbringing to live his own life but his soul remains caught between the world and the faith he left behind.,Bolanle Austen-Peters,2022,"https://m.media-amazon.com/images/M/MV5BNTNjZWQ2YzctYjc3ZS00N2NlLWIzN2ItMDM3ZGIxMzJlNDhiXkEyXkFqcGdeQXVyMTM0Mjc1NzIy._V1_UY98_CR4,0,67,98_AL_.jpg"
Living in Bondage: Breaking Free,"Drama, Fantasy","Mentored by a mysterious tycoon, an ambitious young man faces a crisis when his rise to power draws him deep into the occult.",Ramsey Nouah,2019,"https://m.media-amazon.com/images/M/MV5BMTdmNzUyMmMtN2U1Mi00Nzk1LWJlNTgtYWRjN2ViN2U0YWFlXkEyXkFqcGdeQXVyMzQ3Nzc1MTA@._V1_UY98_CR6,0,67,98_AL_.jpg"
Sideways,"Comedy, Romance",A chance meeting on the street kickstarts a romance that crosses social boundaries.,Tissy Nnachi,2021,"https://m.media-amazon.com/images/M/MV5BYTM2YmM5ZTYtNDAyYy00YWI3LTk5ZWQtNTY3YWExMDI1Y2M3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
Star Girl,Comedy,"A beautiful graduate searches for a white collar job, but fails to secure one, so becomes a market seller with her neighbour's help.",Alex Joseph,2021,"https://m.media-amazon.com/images/M/MV5BYjMzMDY3N2ItZTg5Ni00MDM3LThiMzItMjI4MzI5M2RjZWUzXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Kambili: The Whole 30 Yards,Romance,"Kambili Maduka, is an irresponsible, spoiled, spendthrift 28-year-old woman who is turning 29 in a few days. The only thing on her mind is to get married before she turns 30. However, after...                See full summary »",Kayode Kasum,2020,"https://m.media-amazon.com/images/M/MV5BMTAwYTdlNjktZTZmZS00NjUxLTg3NDctYTkyMzdkYWUyNDI4XkEyXkFqcGdeQXVyMTAxNDc4OTgy._V1_UY98_CR1,0,67,98_AL_.jpg"
Aki and Pawpaw,"Comedy, Drama",,Biodun Stephen,2021,"https://m.media-amazon.com/images/M/MV5BMjc5ZmI2M2YtNDVjYi00ZDA2LTllNTAtMWU0MGFhOTk5ZGFkXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR6,0,67,98_AL_.jpg"
Amina,"Action, Adventure, Biography","In 16th-century Zazzau, now Zaria, Nigeria, Amina must utilize her military skills and tactics to defend her family's kingdom.",Izu Ojukwu,2021,"https://m.media-amazon.com/images/M/MV5BMGNjNmE2ZTQtNzhlNi00OTdhLThkNzMtZGQ0MTJmYzM0MDZiXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Citation,"Drama, Thriller",A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.,Kunle Afolayan,2020,"https://m.media-amazon.com/images/M/MV5BMzU4OTZkNjItNzQ0My00OWQ2LTkyNzctYjI2MWUyNmEzZDBkXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY98_CR1,0,67,98_AL_.jpg"
The Good Doctor,Drama,,Omoruyi Wallz Efosa,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Crazy Grannies,"Comedy, Drama",This comedy/drama movie follows the hilarious adventures of three grandmas who decide to take a much-needed all-girls trip to a resort where they have the adventures of their lives.,Tope Alake,2021,"https://m.media-amazon.com/images/M/MV5BZjNjMjEwMDktNjgzYi00Y2ExLThiZDMtZmM4YWQxNjUzNDA3XkEyXkFqcGdeQXVyMTMwOTU1NzY3._V1_UY98_CR5,0,67,98_AL_.jpg"
Breaded Life,"Comedy, Drama",,Biodun Stephen,2021,"https://m.media-amazon.com/images/M/MV5BNTU3ODdkYzAtZjE4MC00MWM0LTg0NzEtZDAxOTJkZjU3YTJhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Fine Wine,Romance,A beautiful love story that can happen between two people regardless of their age gaps.,Seyi Babatope,2021,"https://m.media-amazon.com/images/M/MV5BNmY1MDhkY2YtMzA2Mi00ZjdmLWFjODQtYmJlNDY4MDYyNmFiXkEyXkFqcGdeQXVyMzY5MzY2NTc@._V1_UY98_CR0,0,67,98_AL_.jpg"
Introducing the Kujus,Comedy,Introducing The Kujus tells the story of siblings who have been at crossroads since their mother's death.,Biodun Stephen,2020,"https://m.media-amazon.com/images/M/MV5BZDAxOTY2YTgtODRmNi00N2UxLWFmYzgtNDQzYjA2YjliNTI2XkEyXkFqcGdeQXVyMTI3MDk2MDk5._V1_UY98_CR1,0,67,98_AL_.jpg"
Ruse,Drama,"After her marriage to Lincoln, Audrey feels suffocated and lives in domestic terror.",Samuel Obiora,2022,"https://m.media-amazon.com/images/M/MV5BMzk3MzA0M2YtMmI2Ny00ZTU2LTk4NDMtZTYxOGU4ODI0NTg5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Ghost and the Tout Too,"Comedy, Fantasy","A woman who can reluctantly communicate with ghosts tries to help the spirit of a woman whose body is in a coma, leaving her trapped between life and death.",Michael Akinrogunde,2021,"https://m.media-amazon.com/images/M/MV5BNmI3N2Y3NGItNTJkOS00YjY5LWIwODAtMDJkMmE1ZjViOGViXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR16,0,67,98_AL_.jpg"
Nneka the Pretty Serpent,"Horror, Mystery","When her parents are murdered, Nneka encounters the Queen of the Coast who offers to help her in revealing the identities of people who killed her parents. This changes the course of her life as she sets out on a mission of revenge.",Tosin Igho,2020,"https://m.media-amazon.com/images/M/MV5BN2JmY2E2ZmUtYWQ5MS00ZWMyLTkzM2MtZjUwMjRhMDkzODNlXkEyXkFqcGdeQXVyMzQ3Nzc1MTA@._V1_UX67_CR0,0,67,98_AL_.jpg"
Sugar Rush,"Action, Comedy","The Sugar Sisters discover a whopping $800,000, the financial crimes commission and the supposed owners of the money come for them. Now they team up with unlikely allies and it's a race against the clock to set things right.",Kayode Kasum, 2019,"https://m.media-amazon.com/images/M/MV5BMThiNTRkYTUtZWE2YS00YzI2LTljZWItY2U0ZDgxODU5ZmViXkEyXkFqcGdeQXVyMTAxNDc4OTgy._V1_UY98_CR5,0,67,98_AL_.jpg"
